ticid_target,ticid_phantom,tmflags_phantom,radial_dist,tessmag_target,tessmag_phantom,target_phantom,disposition_phantom,dupeid_phantom
269701147,269701145,,AUU,13.54,8.2929,14.7,-6.4071,ARTIFACT,
76989773,2055898683,6551292978718711168,,0.14,9.623,9.683,-0.0600000000000005,DUPLICATE,76989773
13419950,1969293164,2068399423045976320,,0.51,9.493,9.65306,-0.16005999999999965,DUPLICATE,13419950
13419950,1969293163,2068399418758831616,,0.95,9.493,10.7379,-1.2448999999999995,,13419950
141776043,782818615,5712547537247777920,,0.3,10.618,11.2295,-0.6114999999999995,DUPLICATE,141776043
141776043,782818631,5712547541549096704,,1.48,10.618,16.144,-5.525999999999998,,141776043
141776043,782818623,5712547541543501824,,2.53,10.618,12.7637,-2.1456999999999997,,141776043
470315428,668056616,274911510768637696,,0.15,10.22,10.2851,-0.06509999999999927,DUPLICATE,470315428
470315428,668056620,274911515065266816,,2.25,10.22,14.7375,-4.5175,,470315428
470315428,668056626,274911515070528768,,4.18,10.22,14.3253,-4.1053,,470315428
470315428,668056622,274911515065267328,,4.74,10.22,15.1049,-4.8849,,470315428
